title,price,excerpt,images,categories,tags,type,visibility,status,description
Huevos de GALLINA (Mix Janus-Ruca Lihue),264,Contenido: 6 unidades. En invierno la postura es reducida. Eventualmente algunas entregas se realizarán con demoras.,huevos-de-gallina-mix-janus-ruca-lihue.jpeg,Productos Frescos>Granja,,simple,featured|outofstock,draft,"Una limitada cantidad de gallinas pastoreando bajo manzanos se alimentan con granos y pasturas biodinámicas produciendo limitadas cantidades de huevos de tamaño mediano a pequeño pero de condición superlativa.

De color y tamaño desuniformes, estos huevos son producto de la Naturaleza ya que nuestras gallinas regulan su postura en armonía con los ciclos estacionales.

Las posturas son diarias pero no siempre tenemos para entregar. Si no alcanzamos a reunir la cantidad necesaria para cumplir con tu pedido te queda la reserva confirmada para entregarte en cuanto contemos con ellos. ¡Gracias por tu comprensión!

&nbsp;"
Huevos de GANSO,240,Contenido: 1 unidad,huevos-de-ganso.jpeg,Productos Frescos>Granja,,simple,featured,draft,"Atentos vigilantes de la armonía en el corral, se pasean elegantes por el corredor externo sin dejar de percibir ningún movimiento extraño. Se ganan la vida ofreciéndonos esos maravillosos huevos, más de 3 veces del tamaño de uno de gallina.

Alimentados de pasturas, granos y frutas biodinámicas, sus huevos nos sorprenden no sólo por su tamaño sino también por su calidad. Probarlos es homenajearlos reconociendo su valiosa participación en la armonía de nuestra Granja Biodinámica.

&nbsp;"
Huevos de PATO,240,Contenido: 2 unidades,huevos-de-pato.jpeg,Productos Frescos>Granja,,simple,featured|outofstock,draft,"Atentos vigilantes de la armonía en el corral, disfrutan del estanque sin dejar de percibir ningún movimiento extraño. Se ganan la vida ofreciéndonos esos maravillosos huevos, casi 2 veces más grandes de uno de gallina.

Alimentados de pasturas, granos y frutas biodinámicas, sus huevos nos sorprenden no sólo por su tamaño sino también por su calidad. Probarlos es homenajearlos reconociendo su valiosa participación en la armonía de nuestra Granja Biodinámica.

&nbsp;"
Ricota,5000,Contenido: 500 gr,ricota.jpeg,Productos Frescos>Lácteos,,simple,featured,publish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe. Sin agregado de sal ni azúcar, puede adaptarse a preparaciones dulces o saladas condimentando a gusto.

Al no contener conservantes es necesario mantener en heladera y consumir en menos de una semana.

Todos nuestros productos elaborados tienen un número de referencia sellado en la tapa para asegurar su trazabilidad ante cualquier duda, consulta o comentario sobre ellos."
Queso FRESCO,600,Contenido: 250 gr,queso-fresco.jpeg,Productos Frescos>Lácteos,,simple,featured,draft,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos sin estacioinamiento. ¡Es un concentrado de leche fresca!

Apenas salado, puede acompañarte en todas las comidas del día.

&nbsp;"
Queso CREMOSO,5200,Contenido: ~300 gr,queso-cremoso.jpeg,Productos Frescos>Lácteos,,simple,featured,unpublish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos sin estacioinamiento. ¡Es un concentrado de leche fresca!

Apenas salado, puede acompañarte en todas las comidas del día.

&nbsp;"
Queso SEMIDURO,12000,Contenido: ~300 gr.,queso-semiduro.jpeg,Productos Frescos>Lácteos,,simple,featured,unpublish,"Absolutamente Natural, procesamos la leche el mismo día del ordeñe y te lo entregamos luego de un estacionamiento de 45  60 días, más durito y salado que un queso fresco. Entre 250 y 300 gramos."
Harina Integral de Trigo,4000,Contenido: 1 kg,harina-integral-de-trig.jpeg,Productos Frescos>Panificados,,simple,featured,draft,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Trigo biodinámico del Establecimiento Agroecológico Solskin (Tandil, Provincia de Buenos Aires), procesado en nuestro molino de piedras el día anterior nos asegura un producto finamente molido y con el mejor contenido vital posible. El resultado te sorprenderá..."
ZAPALLO en almibar,8000,Contenido: 360 cc (500 gr aprox),zapallo-en-almibar.jpeg,Productos Elaborados>Conservas de Frutas,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Cosechamos los zapallos con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Probalos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin agregar conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de CIRUELA,5000,Contenido: 360 cc (500 gr aprox),dulce-de-ciruela.jpeg,Productos Elaborados>Dulces,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Ciruelas biodinámicas, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de DAMASCO,5000,Contenido: 360 cc (500 gr aprox),dulce-de-damasco.jpeg,Productos Elaborados>Dulces,,simple,featured,unpublish,"Los damascos de ""García"", nuestro colaborador desde hace tiempo, nos anticipan cada año el inicio de la temporada frutícola. Cosechados con la madurez adecuada, en la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de MEMBRILLO,4200,Contenido: 300 gr,dulce-de-membrillo.jpeg,Productos Elaborados>Dulces,,simple,featured,unpublish,"Nuestra primer cosecha de membrillos llega a tu mesa. Cosechados con la madurez adecuada, en la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia. ¡Gracias!
"
Dulce de MANZANA,5000,Contenido: 360 cc (500 gr aprox),dulce-de-manzana.jpeg,Productos Elaborados>Dulces,,simple,featured,publish,"Con Pomelos de algunos jardines de por aquí nomás hacemos el jugo que da un toque especial al clásico dulce de nuestras Manzanas Red Delicious. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de MORA,8000,Contenido: 360 cc (500 gr aprox),dulce-de-mora.jpeg,Productos Elaborados>Dulces,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Moras biodinámicas, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de PERA,5000,Contenido: 360 cc (500 gr aprox),dulce-de-pera.jpeg,Productos Elaborados>Dulces,,simple,featured,unpublish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Peras biodinámicas, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. Este año potenciamos el sabor característico de la Pera Williams con Canela, Pimienta de Jamaica y Nuez Moscada, un combo de especias inigualable. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de TOMATE,5000,Contenido: 360 cc (500 gr aprox),dulce-de-tomate.jpeg,Productos Elaborados>Dulces,,simple,featured,publish,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Tomates biodinámicas, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. Las abuelas nos acostumbraron al dulce de Tomate Todo se aprovechaba en esa época. Para disfrutar a ojos cerrados. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de CIRUELA con Pera,5000,Contenido: 360 cc (500 gr aprox),dulce-de-ciruela-con-pera.jpeg,Productos Elaborados>Dulces,,simple,featured,draft,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Peras y Ciruelas biodinámicas, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Si te gusta el dulce de Peras pero te resulta poco ácido, probá este blend con Ciruelas Larry Ann y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
Dulce de TOMATE y Manzana,5000,Contenido: 360 cc (500 gr aprox),dulce-de-tomate-y-manzana.jpeg,Productos Elaborados>Dulces,,simple,featured,draft,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Tomates y Manzanas biodinámicas, cosechadas con la madurez adecuada, en la cocina se acondicionan apropiadamente y se preparan sin secretos.

Las abuelas nos acostumbraron al dulce de Tomate; todo se aprovechaba en esa época. Este emblemático dulce rionegrino se obtenía a partir la hermandad natural entre la chacra y la huerta.

Para disfrutar a ojos cerrados. El resultado te sorprenderá. Productos sanos como ningún otro. Este dulce lleva 500 gr de azúcar por kilogramo de fruta. Probalo y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"

Tomate confitado,10000,"Contenido: 360 cc",tomate-confitado.jpeg,Productos Elaborados>Conservas de Hortalizas,,simple,featured,publish,"¡Especialidad de la Casa! Tomates Cherries rojos y amarillos biodinámicoa cosechados durante el verano y procesados sin secretos. Enteritos van al horno, espolvoreo de aziúcar y después enfrascar con baño de aceite, condimentos y alguna hojita de la huerta. Irresistible para comer solito, con pan o acompañando carnes. Probalos y comentanos tu experiencia. ¡Gracias!

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas las frascos se estabilizan por pasteurización. Absolutamente natural. Una vez abierto conservar en heladera y consumir en la semana."
Pan de harina integral,480,Contenido: 500 gramos,pan-de-harina-integral.jpeg,Productos Frescos>Panificados,,simple,featured,draft,"Trigo biodinámico del Establecimiento Agroecológico Solskin (Tandil, Provincia de Buenos Aires), procesado en nuestro molino de piedras el día anterior y horneado poco antes de llegar a tu mesa; asegurando un alimento sano, vital y nutritivo. De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Probalo, el resultado te sorprenderá..."
Grisines de harina integral,384,Contenido: 130 gramos,grisines-de-harina-integral.jpeg,Productos Frescos>Panificados,,simple,featured,draft,"De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Trigo biodinámico del Establecimiento Agroecológico Solskin (Tandil, Provincia de Buenos Aires), procesado en nuestro molino de piedras el día anterior, amasado y horneado en nuestra reluciente cocina artesanal, para asegurarte un alimento sano, vitall, nutritivo y como si esto fuera poco, multiuso y divertido.

Probalos con nuestros dulces o untables de verduras. El resultado te sorprenderá..."
Budín de harina integral,2000,Contenido: 450 gramos (+/- 50 gr),budin-de-harina-integral.jpeg,Productos Frescos>Panificados|Productos Elaborados,,simple,featured,draft,"<!--more-->Budín de Manzana y algo más, como nueces o cascaritas de cítricos de jardín y canela o jengibre; en fin, lo que tengamos a mano en ese momento. Trigo biodinámico del Establecimiento Agroecológico Solskin (Tandil, Provincia de Buenos Aires), procesado en nuestro molino de piedras el día anterior, amasado y horneado en nuestra reluciente cocina artesanal, para asegurarte un alimento sano, vital, nutritivo.El resultado te sorprenderá. De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica""."
Pizzetas de harina integral,420,Contenido: 6 unidades (300 gramos aprox.),pizzetas-de-harina-integral.jpeg,Productos Frescos>Panificados,,simple,featured,draft,"Con una pintadita de Pimentón, estas pizzetas se pueden comer tibias y untadas con las cremitas de verduras o adornadas con tomates, queso y rúcula como se muestra en la foto. ¡Un festival de productos Janus, sabrosos, vitales y nutritivos. Probalas, el resultado te sorprenderá...

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Trigo biodinámico del Establecimiento Agroecológico Solskin (Tandil, Provincia de Buenos Aires), procesado en nuestro molino de piedras el día anterior, amasado y horneado en nuestra reluciente cocina artesanal, para asegurarte un alimento sano."
MANTECA clarificada (Ghee),12000,Contenido: 160 cc,manteca-clarificada-ghee.jpeg,Productos Frescos>Lácteos,,simple,featured,unpublish,"Es una variedad de manteca clarificada que, en su proceso de elaboración, se mejora la calidad del agua y se elimina la lactosa y la caseína, las sustancias que causan intolerancias.

Al soportar altas temperaturas sin quemarse, es apto para cocción. Sirve para engrasar budineras, fuentes y placas. En preparaciones dulces y saladas, reemplaza otras materias grasas, ya sea manteca o cualquier tipo de aceites.

Preferir que sea un producto elaborado con leche de vacas de pastura. De esta forma, el aporte nutricional será mayor.

Sus beneficios son múltiples.

- Brinda una grasa nutritiva, de fácil digestión y con muchas propiedades terapéuticas.

- Es una fuente de vitaminas liposolubles A, D, E y K. Estas células tienen una función antioxidante, regulan la actividad neuronal y la absorción minerales en el intestino. Además, participan en procesos de fertilidad y hormonal.

- Ayuda a regular la flora bacteriana benéfica y estimula la evacuación.

- Por su alto contenido en ácido láurico, tiene propiedades antivirales y antifúngicas.

- Posee cualidades antiinflamatorias y desintoxicantes.

- Está recomendado para problemas de digestión e intestino irritable.

- Su consumo dentro de un plan de alimentación saludable no aumenta el colesterol. Al ser rico en grasas saturadas, debe consumirse con moderación (la porción depende de cada persona).

Absolutamente Natural, procesamos la leche el mismo día del ordeñe. Sin agregado de sal ni azúcar, puede adaptarse a preparaciones dulces o saladas condimentando a gusto.

No es necesario refrigerar.

&nbsp;"
Jugo de CIRUELA,7000,Contenido: 1.000 cc,jugo-de-ciruela.jpeg,Productos Elaborados>Jugos y Bebidas,,simple,featured|outofstock,draft,"Sin prensado ni filtrado ni exprimido, hacemos nuestros jugos por el proceso más natural posible, en una olla juguera por arrastre de vapor; igualita a la de la abuela, que usa el calor y el vapor como fuente de extracción del jugo, aunque de acero inoxidable y con mayor capacidad, para ""sacarle el jugo"" a todas nuestras frutas de verano.

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Ciruelas biodinámicas de 2 productores amigos, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Probá estos jugos y comentanos tu experiencia.

Envasamos artesanalmente los excedentes de nuestra producción estacional. Todas los envases de vidrio se estabilizan por pasteurización. Absolutamente natural, sin conservantes ni sustancias estabilizadoras. Una vez abierto conservar en heladera y consumir en una semana.

Por cualquier comentario sobre la condición del producto, por favor referirnos al número de identificación en la tapa para cotejar con los datos que tenemos de cada partida envasada. Todo comentario nos ayuda a mejorar. ¡Gracias!

&nbsp;"
LICOR de Ciruela,6000,Contenido: 250 cc,licor-de-ciruela.jpeg,Productos Elaborados>Jugos y Bebidas>alcóholicas,,simple,featured,publish,"Licorcito de entrecasa, suave pero no tanto. No da para compartir, porque te quedás sin. Recuerdo que así lo decía la abuela...

De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"". Ciruelas biodinámicas de 2 productores amigos, cosechadas con la madurez adecuada, En la cocina se acondicionan apropiadamente y se preparan sin secretos. El resultado te sorprenderá. Productos sanos como ningún otro. Probalo comentanos tu experiencia.

&nbsp;"
CAÑA con ruda (Petaquita),444,Contenido: 230 cc,cana-con-ruda-petaquita.jpeg,Productos Elaborados>Jugos y Bebidas>alcóholicas,,simple,featured,draft,"Este año continuamos el impulso que tomamos el año pasado y seguimos aprovechando la ruda que desde siempre habita la chacra. En la cocina se la trabajaron con entusiasmo preparando sin secretos este homenaje a la Madre tierra que nos alimenta todo el año sin pedirnos nada a cambio. El resultado te sorprenderá. Probala y comentanos tu experiencia. De esto hablamos cuando afirmamos que JANUS Proyecto Rural Integrador te regala una verdadera ""Experiencia Biodinámica"".

<strong>Aclaración necesaria: </strong>Esta petaquita con tapa a rosca tiene el tamaño ideal como para acompañarte todo el año. Siempre tendrás motivos para agradecer y fortalecerse."
Sidra de Pera PEER,5500,Contenido: 500 cc,sidra-de-pera-peer.jpeg,Productos Elaborados>Jugos y Bebidas>alcóholicas,,simple,featured,unpublish,"En Janus celebramos la llegada de este original producto afirmando simplemente que está muy bien hecho, lo que no es poco en estos tiempos. Merece tener derecho a llegar a todos los hogares y convertirse en una bebida para acompañar buenos momentos, esos que a veces te sorprenden en cualquier momento. No sólo para tomar ""del pico"" o en copón, sino excelente caldo para reducir cocciones de todo tipo. Probala, dale lugar al emprendurismo local, date un gusto..."
Sidra de Manzana Gran SUREÑA,3200,Contenido: 750 cc,sidra-de-manzana-gran-surena.jpeg,Productos Elaborados>Jugos y Bebidas>alcóholicas,,simple,featured,draft,"Este Almacén estaría incompleto si no tuviera en su mostrador una buena sidra de manzana como representante de la producción frutícola norpatagónica. Para convidar y/o convidarse, para regalar y/o regalarse buenos momentos, de esos que a veces te sorprenden en cualquier momento.

No sólo para tomar ""del pico"" o en copón, sino excelente caldo para reducir cocciones de todo tipo. Probala, dale lugar a la buena industria local, date un gusto..."
Vinagre de sidra de Manzana (chico),7500,Contenido: 250 cc,vinagre-de-sidra-de-manzana-chico.jpeg,Productos Elaborados>Jugos y Bebidas,vinagre,simple,featured,publish,"<big>El vinagre de manzana artesanal tiene múltiples propiedades para la salud ya que obtiene por un proceso de fermentación natural pero mantiene todas sus todas sus propidades porque no se filtra ni se pasteuriza.</big>

<strong>Algunas de ellas son:</strong>
<ul>
 	<li><big>Ayuda a depurar nuestro organismo, favoreciendo la función del hígado.</big></li>
 	<li><big>Ayuda a regula el PH de nuestro cuerpo.</big></li>
 	<li><big>Ayuda a bajar la presión arterial y el azúcar en sangre.</big></li>
 	<li><big>Colabora en la eliminación de líquidos retenidos por su acción diurética.</big></li>
 	<li><big>Colabora en el descenso de los triglicéridos.</big></li>
 	<li><big>Alivia el reflujo ácido y el ardor del estómago.</big></li>
 	<li><big>Mejora la digestión y favorece la evacuación a diario.</big></li>
 	<li><big>Acelera el metabolismo y ayuda a bajar peso.</big></li>
 	<li><big>Ayuda para controlar hongos en los pies y la piel.</big></li>
 	<li><big>Calma picaduras de inséctos y quemaduras solares.</big></li>
 	<li><big>Acondicionador natural que aporta brillo al cabello.</big></li>
 	<li><big>Ayuda a blanquear nuestros dientes.</big></li>
</ul>"
Vinagre de sidra de Manzana (500 cc),13000,Contenido: 500 cc,vinagre-de-sidra-de-manzana-500-cc.jpeg,Productos Elaborados>Jugos y Bebidas,vinagre,simple,featured,publish,"<big>El vinagre de manzana artesanal tiene múltiples propiedades para la salud ya que obtiene por un proceso de fermentación natural pero mantiene todas sus todas sus propidades porque no se filtra ni se pasteuriza.</big>

<strong>Algunas de ellas son:</strong>
<ul>
 	<li><big>Ayuda a depurar nuestro organismo, favoreciendo la función del hígado.</big></li>
 	<li><big>Ayuda a regula el PH de nuestro cuerpo.</big></li>
 	<li><big>Ayuda a bajar la presión arterial y el azúcar en sangre.</big></li>
 	<li><big>Colabora en la eliminación de líquidos retenidos por su acción diurética.</big></li>
 	<li><big>Colabora en el descenso de los triglicéridos.</big></li>
 	<li><big>Alivia el reflujo ácido y el ardor del estómago.</big></li>
 	<li><big>Mejora la digestión y favorece la evacuación a diario.</big></li>
 	<li><big>Acelera el metabolismo y ayuda a bajar peso.</big></li>
 	<li><big>Ayuda para controlar hongos en los pies y la piel.</big></li>
 	<li><big>Calma picaduras de inséctos y quemaduras solares.</big></li>
 	<li><big>Acondicionador natural que aporta brillo al cabello.</big></li>
 	<li><big>Ayuda a blanquear nuestros dientes.</big></li>
</ul>"
¿QUÉ ES LA AGRICULTURA BIODINÁMICA?,2000,"Herbert Koebf

48 pp, Editorial Antroposófica, 2012",que-es-la-agricultura-biodinamica.jpeg,Esenciales,,simple,featured,draft,"La <strong>Agricultura Biodinámica</strong> despierta hoy un gran interés en numerosas personas. Podemos preguntarnos cómo puede ella contribuir a la producción hortícola y agrícola de manera que produzca suficientes alimentos para las generaciones presentes y futuras. Alimentos que aseguren la buena salud del cuerpo y del espíritu, que estén exentos de residuos químicos nocivos, que crezcan sin tener que contaminar el medio ambiente; gracias a una agricultura que no devaste los paisajes ni destruya las comunidades animales y vegetales, alimentos en fin, cuya producción no precise de un gasto abusivo de reservas en materias primas y energía de nuestro planeta.

¿Dónde hallamos hoy un trabajo agrícola que comprenda valores humanos y que trascienda las motivaciones meramente económicas?. Un trabajo que prometa a la juventud una realización personal y una vida con sentido.

En este <strong>pequeño gran libro</strong> se plantean una serie de preguntas concretas y acuciantes. No se puede hablar hoy de agricultura y alimentación sin al menos haberlas formulado, avanzando a paso firme por el sendero de la  ""Agricultura"", ""Alimentación"" y ""Salud"" y reconociendo su impacto en la sociedad toda...

Desde <strong>JANUS Proyecto Rural Integrador</strong> no te vamos a contar qué es la ABD. Alimentándote con nuestros productos y el espíritu de este librito encontrarás las respuestas en su interior..."
AGENDA Biodinámica 2020,360,"&nbsp;

&nbsp;

&nbsp;"agenda-biodinamica-2020.jpeg,Esenciales,,simple,featured,draft,"Agenda y Calendario Astronómico Biodinámico 2020. Este año integrada a la Agenda del Huertero y la Huertera de Rosario. Práctica, cómoda e indispensable necesaria para acompañarte en su sendero  agroecológico."
CALENDARIO Biodinámico,180,"Ediciones AABDA 2017,2018 y 2019.",calendario-biodinamico.jpeg,Esenciales,,simple,featured,draft,"Ejemplares impresos de las 3 últimas ediciones del tradicional Calendario Biodinámico para la planificación del agricultor, para tener en casa como material de referencia permanente."
